"Диалог","Допродажи","Успех допродажи"
"","",""
"","+",""
"","",""
"","+",""
"","",""
""," ",""
"","+",""
"","",""
"","",""
" Можно, пожалуйста, ванильный рот?
 Да, конечно.
","+",""
" Ну, другие правы.
 Рубашка-то прям окей.
 Ну, возьмем еще.
 Короче, я сделала заявку на дешевую,
 она вместо того, чтобы снять с нее оболку,
 я не поняла, что она с ней.
 Я не поняла, что это.
 Я ее не поставила, и все, не поставила.
 Я просто думала, что оболты опять купили,
 поэтому я просила найти оболту на месте.
 А, вот что это такое?
 Я просто, ну, типа, я даже не разглядываю,
 я просто увидела, что она там оторвалась.
 Вот, вот, вот она.
 Продолжение следует...
 Вот взял бы ты еще и медовик.
 У тебя вкусненько сейчас было.
 Нельзя на сервиз экономить.
 Держать себя, так сказать.
 Пока не будем.
 До завтра.
 До завтра.
 А мне день будет.
 На октябре? На розе?
 Вы и на розы будете ставить это?
 Да, в октябре.
 Как прекрасно.
 Пока нет.
 Как на октябре?
 Мы пока особо не фокусируемся на них.
 Ну ладно.
 Покеда.
 Жрать хочу.
 Вчера я ездила на стюардессу
 Светлана?
 Нет
 А, да, с Мэдди
 Да, с Мэдди
 В офисе не было
 Сегодня
 Какая-то девушка приходила, но я ее впервые видела
 Бля, это кто?
 Пасту кладет...
 Только Чебрец!
 Смотри, как только Чебреца, я всегда знала, что это Чебрец, блядь
 О, нихрена себе, они не пожалели Чебреца
 Остань его.
 А?
 Оставь, мы его куснем.
 Тебе оно нужно.
 С брынком салса, сыром, томатной пастой, да?
 У нас апельсинки вся?
 Да, сегодня последний сделал завтрак и озвучку.
 И у нас, короче, сейчас малыши пектели на столе, потом, в общем, цепачки.
 Потому что саму даже завтрак есть.
 Молоко будет взять завтра или будет, в общем, цепок отдельно?
 В общем, цепок отдельно.
 Аллаку сегодня, по идее.
 короче
 это сырный куросат
 у него посыпочка такая
 знаешь, его отличается
 по вкусу, потому что начинай
 потому что паштетки
 я жду их взять
 давай другого произведения
 может попробуем?
 это
 слоеное тесто
 слоеное тесто
 с золотым кремом
 по идее
 у меня в предыдущей работе была, она такая вот, более раскрытая, тесто там хрустящее, слоеное
 и крем там такой прям...
 здесь же тесто размокшее, иногда сирое, иногда не печеное, а сирое
 а вот этот вот крем, он не то чтобы прикрытый, но он неприятный стал
 поэтому я съела половинку вчера с гостей, я не надоела, чтобы до конца почувствовать
 но я прям не рекомендую, типа попробуй, но я бы хотела...
 если останетесь вечером, попробуйте, я вам обещаю
 Можно, пожалуйста, ванильный рот?
 Да, конечно.
","+",""
